vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
4.899999999999999e+000	1.679065e-001	4.732093e-003
4.999999999999998e+000	1.748684e-001	4.825132e-003
5.099999999999998e+000	1.835153e-001	4.916485e-003
5.199999999999998e+000	1.949789e-001	5.005021e-003
5.299999999999997e+000	2.123246e-001	5.087676e-003
5.399999999999997e+000	2.435111e-001	5.156489e-003
5.499999999999996e+000	3.080056e-001	5.191994e-003
5.599999999999996e+000	3.960854e-001	5.203915e-003
5.699999999999996e+000	4.870272e-001	5.212973e-003
5.799999999999995e+000	5.779982e-001	5.222002e-003
5.899999999999995e+000	6.689742e-001	5.231026e-003
5.999999999999995e+000	7.599506e-001	5.240050e-003
6.099999999999994e+000	8.509270e-001	5.249073e-003
6.199999999999994e+000	9.419036e-001	5.258096e-003
6.299999999999994e+000	1.032880e+000	5.267120e-003
6.399999999999993e+000	1.123857e+000	5.276143e-003
6.499999999999993e+000	1.214834e+000	5.285166e-003
6.599999999999993e+000	1.305811e+000	5.294189e-003
6.699999999999992e+000	1.396788e+000	5.303212e-003
6.799999999999992e+000	1.487765e+000	5.312235e-003
6.899999999999992e+000	1.578742e+000	5.321258e-003
6.999999999999991e+000	1.669720e+000	5.330280e-003
7.099999999999991e+000	1.760697e+000	5.339303e-003
7.199999999999990e+000	1.851675e+000	5.348325e-003
7.299999999999990e+000	1.942653e+000	5.357347e-003
7.399999999999990e+000	2.033630e+000	5.366370e-003
7.499999999999989e+000	2.124608e+000	5.375392e-003
7.599999999999989e+000	2.215586e+000	5.384414e-003
7.699999999999989e+000	2.306564e+000	5.393436e-003
7.799999999999988e+000	2.397542e+000	5.402457e-003
7.899999999999988e+000	2.488521e+000	5.411479e-003
7.999999999999988e+000	2.579499e+000	5.420501e-003
8.099999999999987e+000	2.670478e+000	5.429522e-003
8.199999999999987e+000	2.761456e+000	5.438543e-003
8.299999999999987e+000	2.852435e+000	5.447565e-003
8.399999999999986e+000	2.943414e+000	5.456586e-003
8.499999999999986e+000	3.034393e+000	5.465607e-003
8.599999999999985e+000	3.125372e+000	5.474628e-003
8.699999999999985e+000	3.216351e+000	5.483649e-003
8.799999999999985e+000	3.307330e+000	5.492670e-003
8.899999999999984e+000	3.398310e+000	5.501690e-003
8.999999999999984e+000	3.489289e+000	5.510711e-003
9.099999999999984e+000	3.580269e+000	5.519731e-003
9.199999999999983e+000	3.671248e+000	5.528752e-003
9.299999999999983e+000	3.762228e+000	5.537772e-003
9.399999999999983e+000	3.853208e+000	5.546792e-003
9.499999999999982e+000	3.944188e+000	5.555812e-003
9.599999999999982e+000	4.035168e+000	5.564832e-003
9.699999999999982e+000	4.126148e+000	5.573852e-003
9.799999999999981e+000	4.217128e+000	5.582871e-003
9.899999999999981e+000	4.308109e+000	5.591891e-003
9.999999999999981e+000	4.399089e+000	5.600911e-003
1.009999999999998e+001	4.490070e+000	5.609930e-003
1.019999999999998e+001	4.581050e+000	5.618949e-003
1.029999999999998e+001	4.672031e+000	5.627969e-003
1.039999999999998e+001	4.763012e+000	5.636988e-003
1.049999999999998e+001	4.853993e+000	5.646007e-003
1.059999999999998e+001	4.944974e+000	5.655026e-003
1.069999999999998e+001	5.035955e+000	5.664045e-003
1.079999999999998e+001	5.126937e+000	5.673063e-003
1.089999999999998e+001	5.217918e+000	5.682081e-003
1.099999999999998e+001	5.308900e+000	5.691100e-003
1.109999999999998e+001	5.399881e+000	5.700118e-003
1.119999999999998e+001	5.490863e+000	5.709137e-003
1.129999999999998e+001	5.581845e+000	5.718155e-003
1.139999999999998e+001	5.672827e+000	5.727173e-003
1.149999999999998e+001	5.763809e+000	5.736191e-003
1.159999999999998e+001	5.854791e+000	5.745209e-003
1.169999999999997e+001	5.945773e+000	5.754227e-003
1.179999999999997e+001	6.036756e+000	5.763244e-003
1.189999999999997e+001	6.127738e+000	5.772262e-003
1.200000000000000e+001	6.218721e+000	5.781279e-003
Step Information: Vbb=1.2  (Run: 3/4)
0.000000000000000e+000	-1.921214e-003	1.921214e-006
1.000000000000000e-001	7.970240e-003	9.202976e-005
2.000000000000000e-001	1.562509e-002	1.843749e-004
3.000000000000000e-001	2.187520e-002	2.781248e-004
4.000000000000000e-001	2.718545e-002	3.728145e-004
5.000000000000000e-001	3.178440e-002	4.682156e-004
6.000000000000000e-001	3.586767e-002	5.641324e-004
7.000000000000000e-001	3.955060e-002	6.604494e-004
7.999999999999999e-001	4.291311e-002	7.570869e-004
8.999999999999999e-001	4.601433e-002	8.539857e-004
9.999999999999999e-001	4.889892e-002	9.511011e-004
1.100000000000000e+000	5.160135e-002	1.048399e-003
1.200000000000000e+000	5.414880e-002	1.145851e-003
1.300000000000000e+000	5.656305e-002	1.243437e-003
1.400000000000000e+000	5.886183e-002	1.341138e-003
1.500000000000000e+000	6.105977e-002	1.438940e-003
1.600000000000000e+000	6.316911e-002	1.536831e-003
1.700000000000000e+000	6.520014e-002	1.634800e-003
1.800000000000001e+000	6.716169e-002	1.732838e-003
1.900000000000001e+000	6.906132e-002	1.830939e-003
2.000000000000000e+000	7.090560e-002	1.929094e-003
2.100000000000001e+000	7.270029e-002	2.027300e-003
2.200000000000001e+000	7.445044e-002	2.125550e-003
2.300000000000001e+000	7.616055e-002	2.223840e-003
