Freq.	V(vo)
4.26579518801592e+003	5.07439853393151e-001,-3.52170529705225e-001
4.36515832240165e+003	4.99782917836521e-001,-3.54935832638835e-001
4.46683592150962e+003	4.92008937972916e-001,-3.57553826362437e-001
4.57088189614874e+003	4.84123636715431e-001,-3.60018422550341e-001
4.67735141287197e+003	4.76133141249392e-001,-3.62323788923378e-001
4.78630092322637e+003	4.68043969136042e-001,-3.64464381009139e-001
4.89778819368445e+003	4.59863011505249e-001,-3.66434973106678e-001
5.01187233627271e+003	4.51597513379521e-001,-3.68230688151560e-001
5.12861383991364e+003	4.43255051207412e-001,-3.69847026178010e-001
5.24807460249772e+003	4.34843507720498e-001,-3.71279891080392e-001
5.37031796370252e+003	4.26371044263930e-001,-3.72525615386585e-001
5.49540873857624e+003	4.17846070785336e-001,-3.73580982770907e-001
5.62341325190348e+003	4.09277213699934e-001,-3.74443248054037e-001
5.75439937337156e+003	4.00673281880322e-001,-3.75110154461629e-001
5.88843655355588e+003	3.92043231046990e-001,-3.75579947941704e-001
6.02559586074357e+003	3.83396126859443e-001,-3.75851388372945e-001
6.16595001861481e+003	3.74741107027416e-001,-3.75923757531253e-001
6.30957344480192e+003	3.66087342776640e-001,-3.75796863719584e-001
6.45654229034654e+003	3.57444000013463e-001,-3.75471043005655e-001
6.60693448007595e+003	3.48820200537310e-001,-3.74947157052652e-001
6.76082975391980e+003	3.40224983649197e-001,-3.74226587568972e-001
6.91830970918935e+003	3.31667268498437e-001,-3.73311227443377e-001
7.07945784384136e+003	3.23155817498381e-001,-3.72203468671052e-001
7.24435960074989e+003	3.14699201125757e-001,-3.70906187213141e-001
7.41310241300916e+003	3.06305764397379e-001,-3.69422724966733e-001
7.58577575029182e+003	2.97983595293060e-001,-3.67756869053366e-001
7.76247116628690e+003	2.89740495365101e-001,-3.65912828661429e-001
7.94328234724280e+003	2.81583952743364e-001,-3.63895209700872e-001
8.12830516164097e+003	2.73521117711353e-001,-3.61708987547182e-001
8.31763771102669e+003	2.65558780993541e-001,-3.59359478165368e-001
8.51138038202374e+003	2.57703354858280e-001,-3.56852307913686e-001
8.70963589956079e+003	2.49960857104486e-001,-3.54193382331061e-001
8.91250938133744e+003	2.42336897964783e-001,-3.51388854211734e-001
9.12010839355908e+003	2.34836669923374e-001,-3.48445091265857e-001
9.33254300796989e+003	2.27464940414247e-001,-3.45368643655860e-001
9.54992586021434e+003	2.20226047334859e-001,-3.42166211685831e-001
9.77237220955809e+003	2.13123897282608e-001,-3.38844613905310e-001
9.99999999999998e+003	2.06161966396464e-001,-3.35410755870330e-001
1.02329299228075e+004	1.99343303664485e-001,-3.31871599783656e-001
1.04712854805090e+004	1.92670536539481e-001,-3.28234135213632e-001
1.07151930523760e+004	1.86145878690177e-001,-3.24505351067241e-001
1.09647819614318e+004	1.79771139703647e-001,-3.20692208968447e-001
1.12201845430196e+004	1.73547736546532e-001,-3.16801618168156e-001
1.14815362149688e+004	1.67476706587552e-001,-3.12840412087528e-001
1.17489755493953e+004	1.61558721981749e-001,-3.08815326572374e-001
1.20226443461741e+004	1.55794105217649e-001,-3.04732979913289e-001
1.23026877081238e+004	1.50182845631809e-001,-3.00599854664277e-001
1.25892541179416e+004	1.44724616700637e-001,-2.96422281272200e-001
1.28824955169313e+004	1.39418793926832e-001,-2.92206423510576e-001
1.31825673855640e+004	1.34264473146801e-001,-2.87958265694211e-001
1.34896288259165e+004	1.29260489095735e-001,-2.83683601635951e-001
1.38038426460288e+004	1.24405434078447e-001,-2.79388025293586e-001
1.41253754462275e+004	1.19697676606176e-001,-2.75076923043494e-001
1.44543977074592e+004	1.15135379872162e-001,-2.70755467508122e-001
1.47910838816820e+004	1.10716519951689e-001,-2.66428612856668e-001
1.51356124843620e+004	1.06438903625168e-001,-2.62101091492304e-001
1.54881661891248e+004	1.02300185735577e-001,-2.57777412034907e-001
1.58489319246111e+004	9.82978860040025e-002,-2.53461858505331e-001
1.62181009735893e+004	9.44294052389933e-002,-2.49158490615741e-001
1.65958690743756e+004	9.06920408868352e-002,-2.44871145070139e-001
1.69824365246174e+004	8.70830018806042e-002,-2.40603437780042e-001
1.73780082874937e+004	8.35994227558803e-002,-2.36358766901892e-001
1.77827941003892e+004	8.02383770102565e-002,-2.32140316605314e-001
1.81970085860998e+004	7.69968896922466e-002,-2.27951061484509e-001
1.86208713666286e+004	7.38719492128494e-002,-2.23793771528748e-001
1.90546071796324e+004	7.08605183798843e-002,-2.19671017572136e-001
1.94984459975804e+004	6.79595446612836e-002,-2.15585177147248e-001
1.99526231496887e+004	6.51659696888289e-002,-2.11538440671968e-001
2.04173794466952e+004	6.24767380184029e-002,-2.07532817903707e-001
2.08929613085403e+004	5.98888051667059e-002,-2.03570144600077e-001
2.13796208950222e+004	5.73991449476321e-002,-1.99652089330040e-001
2.18776162394954e+004	5.50047561341327e-002,-1.95780160384370e-001
2.23872113856833e+004	5.27026684734829e-002,-1.91955712739044e-001
2.29086765276777e+004	5.04899480854457e-002,-1.88179955029774e-001
2.34422881531991e+004	4.83637022739590e-002,-1.84453956500294e-001
2.39883291901948e+004	4.63210837836862e-002,-1.80778653891275e-001
2.45470891568502e+004	4.43592945331341e-002,-1.77154858240690e-001
2.51188643150957e+004	4.24755888560847e-002,-1.73583261570271e-001
2.57039578276885e+004	4.06672762828575e-002,-1.70064443436149e-001
2.63026799189537e+004	3.89317238924528e-002,-1.66598877325111e-001
2.69153480392691e+004	3.72663582659647e-002,-1.63186936880860e-001
2.75422870333816e+004	3.56686670708236e-002,-1.59828901947506e-001
2.81838293126444e+004	3.41362003044660e-002,-1.56524964420003e-001
2.88403150312660e+004	3.26665712249597e-002,-1.53275233893592e-001
2.95120922666637e+004	3.12574569949631e-002,-1.50079743106363e-001
3.01995172040200e+004	2.99065990641860e-002,-1.46938453170943e-001
3.09029543251358e+004	2.86118033142700e-002,-1.43851258592984e-001
3.16227766016837e+004	2.73709399887316e-002,-1.40817992075590e-001
3.23593656929627e+004	2.61819434293301e-002,-1.37838429110159e-001
3.31131121482590e+004	2.50428116389463e-002,-1.34912292355219e-001
3.38844156139201e+004	2.39516056897921e-002,-1.32039255805855e-001
3.46736850452530e+004	2.29064489945371e-002,-1.29218948757162e-001
3.54813389233574e+004	2.19055264567274e-002,-1.26450959565875e-001
3.63078054770100e+004	2.09470835157062e-002,-1.23734839214929e-001
3.71535229097171e+004	2.00294251001150e-002,-1.21070104686221e-001
3.80189396320560e+004	1.91509145029753e-002,-1.18456242147212e-001
3.89045144994279e+004	1.83099721903158e-002,-1.15892709957345e-001
3.98107170553496e+004	1.75050745543277e-002,-1.13378941500500e-001
4.07380277804111e+004	1.67347526210985e-002,-1.10914347849851e-001
4.16869383470334e+004	1.59975907220930e-002,-1.08498320271620e-001
4.26579518801591e+004	1.52922251377209e-002,-1.06130232574281e-001
4.36515832240164e+004	1.46173427205533e-002,-1.03809443309756e-001
4.46683592150961e+004	1.39716795050177e-002,-1.01535297833138e-001
4.57088189614873e+004	1.33540193097221e-002,-9.93071302274032e-002
4.67735141287196e+004	1.27631923379247e-002,-9.71242650994734e-002
4.78630092322636e+004	1.21980737810765e-002,-9.49860192538744e-002
4.89778819368444e+004	1.16575824298153e-002,-9.28917032501068e-002
5.01187233627270e+004	1.11406792962899e-002,-9.08406228496710e-002
5.12861383991362e+004	1.06463662512241e-002,-8.88320803585302e-002
5.24807460249770e+004	1.01736846787029e-002,-8.68653758706091e-002
5.37031796370250e+004	9.72171415127077e-003,-8.49398084177368e-002
5.49540873857622e+004	9.28957112757123e-003,-8.30546770312489e-002
5.62341325190346e+004	8.87640767442958e-003,-8.12092817202629e-002
5.75439937337154e+004	8.48141021497880e-003,-7.94029243714408e-002
5.88843655355586e+004	8.10379830415817e-003,-7.76349095748522e-002
6.02559586074355e+004	7.74282343266649e-003,-7.59045453803497e-002
6.16595001861479e+004	7.39776786022801e-003,-7.42111439886689e-002
6.30957344480190e+004	7.06794347882851e-003,-7.25540223812727e-002
6.45654229034652e+004	6.75269070639724e-003,-7.09325028927637e-002
6.60693448007593e+004	6.45137741124837e-003,-6.93459137295045e-002
