Freq.	V(out)
6.45654229034654e+002	1.43297509908118e+001,-2.24572915438253e+001
6.60693448007594e+002	1.41861629031179e+001,-2.35524332510838e+001
6.76082975391980e+002	1.40013716333777e+001,-2.46655504204800e+001
6.91830970918935e+002	1.37740243928810e+001,-2.57948490493085e+001
7.07945784384136e+002	1.35028663524777e+001,-2.69384335286919e+001
7.24435960074988e+002	1.31867485630172e+001,-2.80943126873004e+001
7.41310241300916e+002	1.28246354575744e+001,-2.92604064819569e+001
7.58577575029182e+002	1.24156118812302e+001,-3.04345533054196e+001
7.76247116628690e+002	1.19588895969551e+001,-3.16145178745329e+001
7.94328234724279e+002	1.14538132190822e+001,-3.27979996592158e+001
8.12830516164097e+002	1.08998655281641e+001,-3.39826418097735e+001
8.31763771102669e+002	1.02966721249715e+001,-3.51660405338487e+001
8.51138038202374e+002	9.64400538383559e+000,-3.63457548745700e+001
8.70963589956078e+002	8.94178767071059e+000,-3.75193168322408e+001
8.91250938133743e+002	8.19009379334113e+000,-3.86842417761956e+001
9.12010839355907e+002	7.38915265691046e+000,-3.98380390834158e+001
9.33254300796988e+002	6.53934810217673e+000,-4.09782229416922e+001
9.54992586021433e+002	5.64121890775040e+000,-4.21023232524712e+001
9.77237220955808e+002	4.69545794404551e+000,-4.32078965641428e+001
9.99999999999997e+002	3.70291047185765e+000,-4.42925369658242e+001
1.02329299228075e+003	2.66457158360099e+000,-4.53538868705928e+001
1.04712854805090e+003	1.58158279240477e+000,-4.63896476157372e+001
1.07151930523760e+003	4.55227780120460e-001,-4.73975898061246e+001
1.09647819614318e+003	-7.13072676948983e-001,-4.83755633272070e+001
1.12201845430196e+003	-1.92176658050759e+000,-4.93215069561528e+001
1.14815362149688e+003	-3.16917734807943e+000,-5.02334575004470e+001
1.17489755493953e+003	-4.45351117678731e+000,-5.11095583927132e+001
1.20226443461741e+003	-5.77286508726884e+000,-5.19480676794343e+001
1.23026877081238e+003	-7.12523559318612e+000,-5.27473653390845e+001
1.25892541179416e+003	-8.50852793809745e+000,-5.35059598748215e+001
1.28824955169313e+003	-9.92056583177565e+000,-5.42224941287270e+001
1.31825673855640e+003	-1.13591016151651e+001,-5.48957502738071e+001
1.34896288259165e+003	-1.28218267772241e+001,-5.55246539463941e+001
1.38038426460288e+003	-1.43063827431462e+001,-5.61082774885688e+001
1.41253754462275e+003	-1.58103718482982e+001,-5.66458422796472e+001
1.44543977074592e+003	-1.73313684145741e+001,-5.71367201447442e+001
1.47910838816820e+003	-1.88669298387983e+001,-5.75804338369011e+001
1.51356124843620e+003	-2.04146076078563e+001,-5.79766565990010e+001
1.54881661891248e+003	-2.19719581541453e+001,-5.83252108219784e+001
1.58489319246111e+003	-2.35365534664872e+001,-5.86260658224631e+001
1.62181009735892e+003	-2.51059913775580e+001,-5.88793347749575e+001
1.65958690743755e+003	-2.66779054508460e+001,-5.90852708395345e+001
1.69824365246174e+003	-2.82499743974040e+001,-5.92442625350925e+001
1.73780082874937e+003	-2.98199309580453e+001,-5.93568284140811e+001
1.77827941003892e+003	-3.13855701943611e+001,-5.94236111024155e+001
1.81970085860998e+003	-3.29447571397122e+001,-5.94453707706711e+001
1.86208713666286e+003	-3.44954337679838e+001,-5.94229781089254e+001
1.90546071796324e+003	-3.60356252496802e+001,-5.93574068793463e+001
1.94984459975804e+003	-3.75634454706434e+001,-5.92497261236094e+001
1.99526231496887e+003	-3.90771017983420e+001,-5.91010921001952e+001
2.04173794466952e+003	-4.05748990894075e+001,-5.89127400299397e+001
2.08929613085403e+003	-4.20552429421558e+001,-5.86859757242955e+001
2.13796208950222e+003	-4.35166421998925e+001,-5.84221671680373e+001
2.18776162394954e+003	-4.49577107266309e+001,-5.81227361276348e+001
2.23872113856833e+003	-4.63771684761117e+001,-5.77891498496424e+001
2.29086765276776e+003	-4.77738418839379e+001,-5.74229129102705e+001
2.34422881531991e+003	-4.91466636200639e+001,-5.70255592720867e+001
2.39883291901948e+003	-5.04946717378917e+001,-5.65986445979340e+001
